Column1,Job Title,Description,url
24, Intermediate Software Developer ," A fantastic opportunity for a proactive, motivated,&nbsp;customer-focussed software developer to join an international software development company. ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
25, Software Developer / Engineer , Are you a Software Developer / Engineer with great collaboration skills looking to join a high performing team? ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
26, Full Stack Software Developer ," Our client is in high growth mode and are looking to add to their Development team. They are leading the way in team engagement, culture &amp; innovation. ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
27, .Net Software Developer ," React, Python, JavaScript, large enterprise projects. Our client seeks a passionate, collaborative full stack developer to join their close-knit team. ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
28, .Net Developer*2 , The role will be working on greenfield projects as well as developing and enchanting existing software solutions from design to unit testing. ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
29, Assistant Systems Developer , The Assistant Systems Developer role requires a systems developer with the ability to work with multiple ‘customers’ across a range of projects. ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
30, Software Developer ," Due to continued growth, our client is seeking experienced Developers keen on a new challenge, with ability to work anywhere across NZ ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
31, Software Developer (Award-winning Tech Company) ," On behalf of our client, The Pond is looking for a proven Senior Software Developer to join a Kiwi-based global software company that... ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
32, Front End Developer - Team Lead ," We’re looking for someone confident with agile practices and constant change, who has been an experienced and proven Front End Developer... ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
33, Lead C#.Net Developer ," A growing company is looking for a Lead C#.Net Software Engineer who wants to be a part of a collaborative, supportive &amp; innovative culture? ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
34, .NET Senior Developer , Platinum Recruitment are working on behalf of our client on the hunt for a Senior .Net Developer for their international team ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
35, Intermediate-Senior Developer , Great opportunity for a Intermediate-Senior Developer to join a leading software company. ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
36, Front End / Back End / Full Stack Development Jobs , Front End / Back End / Full Stack Development Jobs ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
37, CONTRACT React Native Mobile Developer , React Native Mobile developer that can help out? Can start fairly immediately or work part-time a couple of days per week or 10-20 hours? Get in touch ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
38, Senior Developer , Build innovative mobile software using the latest technology and implementing modern software development practices. ,https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
39, Senior C#.Net Full Stack Developer ," A growing company is looking for a Senior C#.Net&nbsp;Full Stack Developer who wants to be a part of a collaborative, supportive &amp; innovative culture? ",https://www.trademe.co.nz/a/jobs/search?search_string=software%20developer
